Date,Week,Home,Away,Home Elo,Away Elo,Win,Draw,Lose,Home Score,Away Score,Elo +/-
2022-09-27,Quarter-Finals,Real FC United Thunder,Escape Room,1637.95,1382.55,66,31,3,1.0,3.0,-60.98
2024-06-18,Week 1,The Escape Room,Old Port FC,1349.47,1500.0,9,41,50,4.0,0.0,52.8
2021-06-22,Week 1,One Love FC,The Real Portland Timbers,1500.0,1500.0,25,50,25,9.0,0.0,50.0
2023-10-03,Semi-Finals,Thunder United FC,Farmers FC,1667.84,1702.29,20,50,30,3.0,1.0,49.45
2021-09-28,Week 15,The Real Portland Timbers,JW Group,1368.45,1275.98,40,46,14,2.0,6.0,-47.25
2021-09-28,Week 15,U Gonna Learn Today,One Love FC,1788.14,1677.06,43,45,12,2.0,5.0,-45.82
2021-10-07,Quarter-Finals,Duppy Conquerors,The Real Portland Timbers,1692.06,1305.39,81,18,1,0.0,1.0,-45.13
2023-07-25,Week 7,Thunder United FC,Farmers FC,1662.36,1565.74,40,47,13,0.0,3.0,-44.49
2021-10-19,Final,U Gonna Learn Today,One Love FC,1769.36,1746.75,28,50,22,1.0,2.0,-42.6
2022-06-16,Week 1,Farmers FC,Portland Phoenix FC,1500.0,1500.0,25,50,25,7.0,1.0,42.5
